expense_date,amount,category,notes
8/1/2024,35,Food,Lunch with friends
8/1/2024,1200,Rent,Monthly apartment rent
8/2/2024,18,Food,Coffee and snacks
8/3/2024,75,Shopping,Clothing purchase
8/3/2024,40,Entertainment,Movie tickets
8/4/2024,60,Transport,Fuel refill
8/5/2024,22,Food,Dinner meal
8/6/2024,150,Shopping,Shoes purchase
8/7/2024,45,Entertainment,Video game
8/8/2024,30,Transport,Taxi rides
8/9/2024,90,Shopping,Grocery shopping
8/10/2024,15,Food,Breakfast
8/11/2024,65,Entertainment,Bowling night
8/12/2024,25,Food,Cafe visit
8/13/2024,80,Transport,Car maintenance
8/14/2024,200,Shopping,Electronics accessories
8/15/2024,35,Food,Lunch
8/16/2024,120,Entertainment,Concert ticket
8/17/2024,50,Transport,Bus and metro card
8/18/2024,28,Food,Dinner
8/19/2024,300,Shopping,Furniture items
8/20/2024,18,Food,Coffee
8/21/2024,70,Entertainment,Theme park
8/22/2024,40,Transport,Taxi rides
8/23/2024,110,Shopping,Online order
8/24/2024,20,Food,Fast food
8/25/2024,85,Entertainment,Streaming subscriptions
8/26/2024,55,Transport,Fuel refill
8/27/2024,150,Shopping,Office setup
8/28/2024,32,Food,Restaurant dinner
8/29/2024,45,Entertainment,Cinema
8/30/2024,25,Transport,Parking fees
9/1/2024,1300,Rent,Monthly apartment rent
9/2/2024,40,Food,Dinner
9/3/2024,95,Shopping,Grocery shopping
9/4/2024,50,Entertainment,Arcade games
9/5/2024,70,Transport,Fuel refill
9/6/2024,22,Food,Cafe breakfast
9/7/2024,180,Shopping,New headphones
9/8/2024,65,Entertainment,Football match ticket
9/9/2024,35,Transport,Taxi rides
9/10/2024,27,Food,Lunch
9/11/2024,140,Shopping,Home appliances
9/12/2024,48,Entertainment,Streaming and music apps
9/13/2024,60,Transport,Car wash and fuel
9/14/2024,33,Food,Dinner
9/15/2024,90,Shopping,Sports equipment
9/16/2024,55,Entertainment,Bowling
9/17/2024,20,Food,Coffee and dessert
9/18/2024,75,Transport,Public transportation
9/19/2024,250,Shopping,Smartwatch
9/20/2024,38,Food,Restaurant meal
